iter	Passed	Remaining
0	136	136084
1	139	69833
2	144	47856
3	147	36805
4	153	30468
5	157	26168
6	161	22929
7	166	20592
8	170	18811
9	174	17324
10	179	16116
11	185	15253
12	188	14348
13	193	13597
14	198	13061
15	204	12586
16	211	12242
17	215	11764
18	219	11349
19	222	10897
20	225	10497
21	231	10275
22	237	10076
23	241	9837
24	249	9746
25	254	9541
26	258	9301
27	261	9075
28	264	8859
29	274	8866
30	299	9372
31	303	9178
32	312	9156
33	316	8978
34	319	8805
35	331	8865
36	349	9095
37	353	8949
38	368	9070
39	381	9161
40	387	9073
41	391	8929
42	406	9047
43	415	9036
44	429	9108
45	445	9247
46	458	9302
47	464	9204
48	487	9455
49	499	9482
50	506	9434
51	516	9415
52	529	9457
53	543	9515
54	547	9401
55	558	9413
56	564	9346
57	568	9240
58	572	9128
59	583	9138
60	600	9245
61	608	9199
62	616	9164
63	630	9215
64	634	9124
65	648	9181
66	661	9214
67	674	9248
68	679	9162
69	683	9075
70	685	8964
71	687	8856
72	695	8830
73	698	8741
74	704	8691
75	707	8607
76	709	8510
77	712	8416
78	720	8399
79	729	8393
80	733	8322
81	736	8248
82	742	8206
83	746	8143
84	750	8078
85	754	8013
86	756	7935
87	760	7877
88	763	7819
89	770	7792
90	774	7734
91	776	7664
92	778	7594
93	783	7548
94	787	7499
95	790	7448
96	796	7411
97	799	7354
98	801	7291
99	804	7236
100	811	7224
101	824	7260
102	826	7200
103	828	7140
104	831	7088
105	836	7052
106	840	7014
107	843	6968
108	851	6957
109	855	6917
110	857	6866
111	877	6958
112	880	6914
113	884	6875
114	888	6839
115	892	6798
116	893	6745
117	895	6697
118	901	6675
119	905	6642
120	909	6604
121	944	6798
122	949	6769
123	952	6725
124	954	6678
125	956	6632
126	961	6609
127	964	6573
128	969	6544
129	972	6508
130	976	6480
131	979	6441
132	982	6404
133	984	6363
134	989	6338
135	1007	6402
136	1010	6366
137	1015	6344
138	1018	6310
139	1022	6279
140	1024	6241
141	1025	6197
142	1028	6165
143	1032	6139
144	1036	6111
145	1043	6102
146	1047	6079
147	1051	6051
148	1053	6018
149	1057	5989
150	1060	5965
151	1068	5958
152	1072	5938
153	1075	5910
154	1078	5878
155	1080	5845
156	1086	5834
157	1158	6174
158	1174	6212
159	1188	6240
160	1191	6207
161	1195	6182
162	1199	6160
163	1205	6144
164	1210	6124
165	1214	6102
166	1219	6080
167	1221	6050
168	1235	6072
169	1238	6047
170	1246	6044
171	1250	6020
172	1253	5992
173	1262	5991
174	1266	5969
175	1273	5961
176	1277	5939
177	1280	5915
178	1284	5893
179	1290	5879
180	1295	5862
181	1302	5856
182	1308	5841
183	1312	5818
184	1317	5806
185	1323	5791
186	1328	5777
187	1334	5765
188	1343	5764
189	1346	5741
190	1354	5737
191	1362	5732
192	1370	5730
193	1378	5728
194	1382	5708
195	1385	5684
196	1398	5698
197	1406	5698
198	1419	5711
199	1421	5686
200	1425	5665
201	1431	5653
202	1436	5638
203	1445	5638
204	1451	5629
205	1456	5613
206	1459	5590
207	1462	5568
208	1468	5557
209	1475	5551
210	1480	5536
211	1487	5527
212	1491	5510
213	1494	5487
214	1497	5466
215	1506	5469
216	1510	5451
217	1521	5457
218	1524	5438
219	1528	5418
220	1531	5396
221	1533	5375
222	1539	5363
223	1547	5360
224	1553	5352
225	1559	5339
226	1563	5325
227	1571	5321
228	1577	5310
229	1584	5304
230	1588	5286
231	1591	5267
232	1595	5251
233	1602	5246
234	1607	5231
235	1614	5226
236	1618	5210
237	1621	5191
238	1624	5172
239	1627	5152
240	1629	5133
241	1633	5117
242	1637	5101
243	1642	5089
244	1650	5085
245	1653	5067
246	1655	5048
247	1661	5038
248	1665	5022
249	1670	5011
250	1677	5004
251	1681	4991
252	1686	4980
253	1691	4967
254	1695	4952
255	1702	4947
256	1705	4931
257	1709	4915
258	1712	4898
259	1717	4888
260	1722	4875
261	1727	4865
262	1731	4850
263	1735	4838
264	1738	4821
265	1743	4809
266	1748	4801
267	1755	4796
268	1772	4816
269	1775	4800
270	1795	4830
271	1799	4817
272	1811	4823
273	1815	4811
274	1818	4794
275	1821	4778
276	1824	4761
277	1827	4745
278	1833	4738
279	1837	4725
280	1848	4728
281	1850	4712
282	1853	4695
283	1861	4693
284	1865	4680
285	1878	4689
286	1882	4676
287	1886	4664
288	1889	4649
289	1892	4632
290	1895	4617
291	1901	4610
292	1911	4611
293	1915	4599
294	1918	4583
295	1920	4568
296	1927	4563
297	1937	4564
298	1941	4552
299	1946	4542
300	1951	4530
301	1955	4518
302	1959	4507
303	1973	4517
304	1976	4503
305	1980	4491
306	1990	4493
307	1995	4483
308	1999	4471
309	2002	4456
310	2004	4441
311	2013	4439
312	2017	4427
313	2026	4428
314	2030	4416
315	2033	4402
316	2036	4387
317	2039	4373
318	2041	4359
319	2045	4347
320	2060	4357
321	2076	4372
322	2096	4393
323	2101	4385
324	2110	4383
325	2113	4370
326	2117	4357
327	2119	4342
328	2121	4327
329	2125	4315
330	2136	4318
331	2140	4307
332	2150	4307
333	2153	4293
334	2155	4278
335	2157	4263
336	2163	4255
337	2167	4244
338	2178	4246
339	2181	4234
340	2183	4220
341	2186	4206
342	2198	4211
343	2202	4199
344	2212	4200
345	2215	4188
346	2226	4190
347	2230	4178
348	2232	4163
349	2234	4150
350	2237	4137
351	2242	4127
352	2245	4116
353	2249	4105
354	2258	4104
355	2260	4090
356	2263	4077
357	2267	4066
358	2272	4058
359	2280	4054
360	2282	4040
361	2285	4027
362	2294	4025
363	2299	4017
364	2310	4018
365	2312	4006
366	2325	4011
367	2328	3999
368	2337	3996
369	2340	3985
370	2351	3986
371	2354	3975
372	2357	3963
373	2371	3969
374	2387	3978
375	2401	3985
376	2413	3988
377	2416	3977
378	2420	3965
379	2422	3953
380	2434	3955
381	2445	3955
382	2447	3942
383	2449	3929
384	2456	3924
385	2462	3916
386	2466	3906
387	2474	3903
388	2477	3891
389	2480	3879
390	2482	3867
391	2485	3854
392	2488	3843
393	2492	3833
394	2494	3821
395	2497	3809
396	2506	3807
397	2509	3795
398	2511	3783
399	2513	3770
400	2517	3760
401	2520	3749
402	2531	3750
403	2535	3740
404	2541	3734
405	2544	3723
406	2547	3711
407	2549	3699
408	2554	3690
409	2557	3680
410	2561	3670
411	2571	3670
412	2575	3660
413	2582	3654
414	2584	3642
415	2586	3630
416	2591	3623
417	2595	3613
418	2598	3603
419	2601	3593
420	2606	3584
421	2608	3572
422	2610	3560
423	2612	3548
424	2615	3539
425	2624	3536
426	2628	3527
427	2631	3517
428	2635	3508
429	2637	3496
430	2639	3484
431	2641	3473
432	2644	3463
433	2650	3457
434	2655	3449
435	2659	3440
436	2661	3429
437	2663	3418
438	2665	3406
439	2668	3396
440	2674	3389
441	2679	3382
442	2682	3372
443	2685	3362
444	2688	3352
445	2690	3341
446	2693	3331
447	2695	3320
448	2700	3314
449	2715	3319
450	2722	3314
451	2726	3305
452	2728	3294
453	2730	3284
454	2737	3278
455	2740	3269
456	2744	3261
457	2749	3253
458	2751	3243
459	2753	3232
460	2756	3222
461	2760	3215
462	2765	3207
463	2768	3198
464	2772	3189
465	2774	3179
466	2776	3169
467	2781	3161
468	2786	3154
469	2789	3145
470	2796	3141
471	2799	3131
472	2801	3121
473	2804	3112
474	2814	3110
475	2821	3105
476	2850	3125
477	2854	3117
478	2857	3107
479	2860	3098
480	2862	3088
481	2864	3078
482	2869	3071
483	2906	3098
484	2920	3101
485	2927	3095
486	2930	3086
487	2932	3076
488	2941	3074
489	2946	3066
490	2952	3060
491	2955	3051
492	2960	3044
493	2964	3036
494	2967	3027
495	2970	3018
496	2972	3008
497	2977	3001
498	2989	3001
499	3029	3029
500	3032	3020
501	3035	3011
502	3038	3001
503	3048	2999
504	3055	2994
505	3060	2987
506	3071	2986
507	3077	2980
508	3089	2980
509	3102	2980
510	3118	2984
511	3136	2989
512	3142	2982
513	3149	2977
514	3156	2972
515	3175	2978
516	3180	2970
517	3185	2963
518	3204	2969
519	3207	2961
520	3214	2955
521	3220	2948
522	3223	2939
523	3237	2941
524	3254	2944
525	3269	2946
526	3281	2945
527	3285	2936
528	3287	2926
529	3289	2916
530	3294	2909
531	3301	2904
532	3307	2897
533	3310	2888
534	3312	2879
535	3314	2869
536	3318	2860
537	3322	2853
538	3329	2847
539	3334	2840
540	3336	2830
541	3338	2821
542	3346	2816
543	3350	2808
544	3359	2804
545	3361	2795
546	3364	2785
547	3367	2777
548	3372	2770
549	3376	2762
550	3380	2754
