iter	Passed	Remaining
0	126	126770
1	127	63786
2	128	42844
3	129	32336
4	130	26052
5	131	21831
6	132	18801
7	133	16541
8	134	14802
9	135	13402
10	136	12264
11	137	11314
12	138	10534
13	140	9866
14	141	9290
15	142	8777
16	143	8315
17	144	7894
18	145	7514
19	146	7171
20	147	6866
21	148	6587
22	149	6332
23	150	6104
24	151	5893
25	152	5702
26	153	5524
27	154	5359
28	155	5200
29	156	5061
30	157	4926
31	158	4796
32	159	4673
33	160	4559
34	161	4451
35	162	4352
36	163	4253
37	164	4163
38	165	4074
39	166	3987
40	167	3912
41	168	3838
42	169	3766
43	170	3700
44	171	3636
45	172	3569
46	172	3506
47	173	3449
48	174	3392
49	175	3336
50	176	3283
51	177	3230
52	178	3181
53	178	3133
54	179	3092
55	181	3052
56	182	3014
57	183	2984
58	184	2944
59	185	2908
60	186	2872
61	187	2836
62	188	2803
63	189	2770
64	190	2737
65	191	2709
66	192	2681
67	193	2655
68	194	2630
69	196	2607
70	197	2582
71	198	2557
72	199	2532
73	200	2506
74	201	2481
75	202	2457
76	203	2434
77	204	2414
78	205	2392
79	206	2370
80	207	2349
81	208	2330
82	208	2304
83	209	2286
84	210	2268
85	211	2251
86	212	2235
87	214	2217
88	215	2201
89	216	2184
90	217	2168
91	218	2154
92	219	2140
93	220	2126
94	221	2113
95	223	2100
96	224	2087
97	225	2074
98	226	2061
99	227	2049
100	228	2036
101	229	2024
102	231	2011
103	232	2000
104	233	1988
105	234	1976
106	235	1965
107	236	1954
108	237	1944
109	239	1935
110	240	1923
111	241	1912
112	242	1901
113	243	1889
114	244	1878
115	244	1866
116	245	1854
117	246	1843
118	247	1833
119	248	1822
120	249	1813
121	250	1801
122	251	1794
123	252	1785
124	253	1776
125	254	1768
126	255	1757
127	256	1748
128	257	1741
129	259	1733
130	260	1725
131	261	1716
132	261	1707
133	263	1699
134	264	1691
135	265	1684
136	266	1676
137	267	1671
138	268	1664
139	269	1658
140	270	1650
141	271	1641
142	272	1634
143	273	1626
144	274	1619
145	275	1612
146	276	1606
147	277	1599
148	278	1592
149	280	1588
150	281	1582
151	282	1576
152	283	1570
153	284	1564
154	285	1558
155	286	1551
156	287	1545
157	288	1538
158	289	1533
159	290	1526
160	291	1518
161	292	1512
162	293	1507
163	294	1502
164	295	1496
165	296	1490
166	297	1486
167	299	1481
168	300	1477
169	301	1471
170	302	1466
171	303	1461
